"Year","Continent","Average_Life_Expectancy"
2000,"Africa",54.2511627906977
2000,"Asia",68.8342105263158
2000,"Asia/Europe",68.4
2000,"Australia",79.5
2000,"Europe",75.8441176470588
2000,"North America",72.325
2000,"Oceania",68.4625
2000,"South America",72.5454545454545
2001,"Africa",54.9409090909091
2001,"Asia",69.5052631578947
2001,"Asia/Europe",69.05
2001,"Australia",79.9
2001,"Europe",76.1823529411765
2001,"North America",72.55625
2001,"Oceania",68.975
2001,"South America",71.6545454545455
2002,"Africa",55.3068181818182
2002,"Asia",69.4605263157895
2002,"Asia/Europe",68.25
2002,"Australia",79.9
2002,"Europe",76.3294117647059
2002,"North America",73.3625
2002,"Oceania",69.275
2002,"South America",71.8727272727273
2003,"Africa",55.0522727272727
2003,"Asia",69.8421052631579
2003,"Asia/Europe",68.65
2003,"Australia",83
2003,"Europe",76.6117647058824
2003,"North America",72.875
2003,"Oceania",69.825
2003,"South America",72.0363636363636
2004,"Africa",55.7318181818182
2004,"Asia",69.9
2004,"Asia/Europe",68.6
2004,"Australia",86
2004,"Europe",76.9970588235294
2004,"North America",72.5125
2004,"Oceania",69.0375
2004,"South America",72.2
2005,"Africa",56.9272727272727
2005,"Asia",70.3051282051282
2005,"Asia/Europe",69.45
2005,"Australia",81
2005,"Europe",77.2294117647059
2005,"North America",73.0625
2005,"Oceania",69.7875
2005,"South America",72.4818181818182
2006,"Africa",57.2954545454545
2006,"Asia",70.8102564102564
2006,"Asia/Europe",70.15
2006,"Australia",81.2
2006,"Europe",77.8117647058824
2006,"North America",73.80625
2006,"Oceania",70.55
2006,"South America",72.8545454545455
2007,"Africa",57.9568181818182
2007,"Asia",71.074358974359
2007,"Asia/Europe",70.85
2007,"Australia",81.3
2007,"Europe",78.2382352941176
2007,"North America",74.10625
2007,"Oceania",70.125
2007,"South America",72.9090909090909
2008,"Africa",58.9886363636364
2008,"Asia",71.1210526315789
2008,"Asia/Europe",70.7
2008,"Australia",81.3
2008,"Europe",77.9470588235294
2008,"North America",74.59375
2008,"Oceania",70.5375
2008,"South America",73.2272727272727
2009,"Africa",59.7363636363636
2009,"Asia",71.7894736842105
2009,"Asia/Europe",70.7
2009,"Australia",81.7
2009,"Europe",78.2323529411765
2009,"North America",74.21875
2009,"Oceania",71.9125
2009,"South America",73.4272727272727
2010,"Africa",60.0727272727273
2010,"Asia",71.9368421052632
2010,"Asia/Europe",71.1
2010,"Australia",81.9
2010,"Europe",78.8352941176471
2010,"North America",72.6
2010,"Oceania",71.2375
2010,"South America",73.9181818181818
2011,"Africa",60.4704545454545
2011,"Asia",72.3052631578947
2011,"Asia/Europe",71.65
2011,"Australia",82
2011,"Europe",79.65
2011,"North America",74.23125
2011,"Oceania",71.0375
2011,"South America",74.6909090909091
2012,"Africa",61.0690476190476
2012,"Asia",72.6736842105263
2012,"Asia/Europe",71.9
2012,"Australia",82.3
2012,"Europe",79.5676470588235
2012,"North America",74.28125
2012,"Oceania",70.5875
2012,"South America",74.5636363636364
2013,"Africa",61.6767441860465
2013,"Asia",72.5236842105263
2013,"Asia/Europe",72.25
2013,"Australia",82.5
2013,"Europe",79.75
2013,"North America",74.54375
2013,"Oceania",70.7875
2013,"South America",74.1909090909091
2014,"Africa",61.4674418604651
2014,"Asia",72.7
2014,"Asia/Europe",73.75
2014,"Australia",82.7
2014,"Europe",80.6823529411765
2014,"North America",74.76875
2014,"Oceania",70.95
2014,"South America",74.4636363636364
2015,"Africa",62.1139534883721
2015,"Asia",73.1078947368421
2015,"Asia/Europe",74.7
2015,"Australia",82.8
2015,"Europe",79.65
2015,"North America",75.01875
2015,"Oceania",72.3571428571429
2015,"South America",74.8
