Country,Total_Subscribers
Argentina,276800000
Australia,32100000
Barbados,41900000
Brazil,683300000
Canada,186100000
Chile,87200000
China,17600000
Colombia,224600000
Cuba,46300000
Ecuador,27700000
Egypt,30600000
El Salvador,46100000
France,69500000
Germany,75200000
India,3900300000
Indonesia,3.97E+08
Italy,39400000
Japan,78100000
Jordan,6.70E+07
Kuwait,30500000
Latvia,20200000
Malaysia,17700000
Mexico,309300000
Netherlands,43900000
Pakistan,142900000
Philippines,182500000
Russia,357500000
Samoa,13100000
Saudi Arabia,123900000
Singapore,31900000
South Korea,342300000
Spain,180800000
Sweden,28400000
Switzerland,19400000
Thailand,272300000
Turkey,76400000
Ukraine,77100000
United Arab Emirates,148200000
United Kingdom,554300000
United States of America,4914600000
Venezuela,31200000
Vietnam,34100000
Greenland ,0
Iceland,0
Norway,0
Guatemala,0
Honduras,0
Nicaragua,0
Costa Rica,0
Panama,0
Peru ,0
Bolivia,0
Paraguay,0
Madagascar,0
